"#MSM",Making Sense of Location-based Micro-posts Using Stream Reasoning.
"#Microposts",A Reverse Approach to Named Entity Extraction and Linking in Microposts.
"(KNOW@LOD/CoDeS)@ESWC",A Two-Fold Quality Assurance Approach for Dynamic Knowledge Bases: The 3cixty Use Case.,A Hybrid Method for Rating Prediction Using Linked Data Features and Text Reviews.
AAAI Fall Symposium: Machine Aggregation of Human Judgment,The Good Judgment Project: A Large Scale Test of Different Methods of Combining Expert Predictions.
AAAI Fall Symposium: Manifold Learning and Its Applications,Invited Talk Abstracts.
AAAI Fall Symposium: Multi-Representational Architectures for Human-Level Intelligence,Scalable Representation Structures for Visuo-Spatial Reasoning - Dynamic Explorations into Knowledge Types.,"Addressing the Raven's Progressive Matrices Test of ""General"" Intelligence."
AAAI Fall Symposium: Multimedia Information Extraction,"Automatic Detection, Indexing, and Retrieval of Multiple Attributes from Cross-lingual Multimedia Data.",Multimedia Information Extraction Roadmap.
AAAI Fall Symposium: Naturally-Inspired Artificial Intelligence,Preface.,Organizing Committee.
AAAI Fall Symposium: Proactive Assistant Agents,Agent Support for Policy-Driven Mission Planning Under Constraints.
"AAAI Fall Symposium: Quantum Informatics for Cognitive, Social, and Semantic Processes",How Quantum Theory Is Developing the Field of Information Retrieval.
AAAI Fall Symposium: Question Generation,A New Approach to Ranking Over-Generated Questions.,Evaluating HILDA in the CODA Project: A Case Study in Question Generation Using Automatic Discourse Analysis.,Augmenting Conversational Characters with Generated Question-Answer Pairs.,Evaluating Questions in Context.
AAAI Fall Symposium: Regarding the Intelligence in Distributed Intelligent Systems,Developing a Low-Cost Robot Colony.,Coordination in Human-Agent-Robot Teamwork.
AAAI Fall Symposium: Robot-Human Teamwork in Dynamic Adverse Environment,Smart Monitoring of Complex Public Scenes.
AAAI Fall Symposium: Robots Learning Interactively from Human Teachers,Learning to Avoid Collisions.
AAAI Fall Symposium: Semantic Web for Collaborative Knowledge Acquisition,Using the Semantic Web to Support Ecoinformatics.
AAAI Fall Symposium: Social Networks and Social Contagion,Applied Actant-Network Theory: Toward the Automated Detection of Technoscientific Emergence from Full-Text Publications and Patents.,Security Games on Social Networks.
AAAI Fall Symposium: Spacecraft Autonomy,Model-Unified Planning and Execution for Distributed Autonomous System Control.
AAAI Fall Symposium: The Uses of Computational Argumentation,Formal Argumentation and Human Reasoning: The Case of Reinstatement.
AAAI Fall Symposium: Virtual Healthcare Interaction,Graphical Social Scenarios: Toward Intervention and Authoring for Adolescents with High Functioning Autism.
AAAI Mobile Robot Competition,GRACE and GEORGE: Autonomous Robots for the AAAI Robot Challenge.
AAAI Spring Symposia,"Cognitive Assistance to Meal Preparation: Design, Implementation, and Assessment in a Living Lab."
AAAI Spring Symposium: AI Meets Business Rules and Process Management,Developing a Web-Based Application using OWL and SWRL.
AAAI Spring Symposium: AI Technologies for Homeland Security,Network Awareness and the Philadelphia Area Urban Wireless Network Testbed.
AAAI Spring Symposium: AI and Health Communication,Intelligent Monitoring of the Elderly in Home Environment.,Calculating Alcohol Risk in a Visualisation Tool for Promoting Healthy Behaviour.,Accessing Structured Health Information through English Queries and Automatic Deduction.,Dr. Vicky: A Virtual Coach for Learning Brief Negotiated Interview Techniques for Treating Emergency Room Patients.
AAAI Spring Symposium: AI for Business Agility,Individualization of Goods and Services: Towards a Logistics Knowledge Infrastructure for Agile Supply Chains.,Added Value of Sociofact Analysis for Business Agility.
"AAAI Spring Symposium: AI, The Fundamental Social Aggregation Challenge",SNARE: Social Network Analysis and Reasoning Environment.,The Effects of Inter-Agent Variation on Developing Stable and Robust Teams.,Preface.
AAAI Spring Symposium: Agents that Learn from Human Teachers,Question Asking to Inform Preference Learning: A Case Study.
AAAI Spring Symposium: Analyzing Microtext,Toward Personality Insights from Language Exploration in Social Media.
AAAI Spring Symposium: Argumentation for Consumers of Healthcare,A Physician's Authoring Tool for Generation of Personalized Health Education in Reconstructive Surgery.
AAAI Spring Symposium: Artificial Intelligence and Sustainable Design,Design Patterns and Cross-Domain Analogies in Biologically Inspired Sustainable Design.
AAAI Spring Symposium: Artificial Intelligence for Development,Document Classification for Focused Topics.,Learning to Identify Locally Actionable Health Anomalies.,An Approach for Mining Accumulated Crop Cultivation Problems and their Solutions.,Using Data Mining to Combat Infrastructure Inefficiencies: The Case of Predicting Nonpayment for Ethiopian Telecom.,Case for Automated Detection of Diabetic Retinopathy.,Intelligent Heartsound Diagnostics on a Cellphone Using a Hands-Free Kit.,Reality Mining Africa.,Human Mobility in Advanced and Developing Economies: A Comparative Analysis.
AAAI Spring Symposium: Benchmarking of Qualitative Spatial and Temporal Reasoning Systems,GQR: A Fast Solver for Binary Qualitative Constraint Networks.,CleanTax: A Framework for Reasoning about Taxonomies.,Towards a Theory of Application for QSTR Systems.,Qualitative Constraints for Job Shop Scheduling.,SimSpace: A Tool to Interpret Route Instructions with Qualitative Spatial Knowledge.
AAAI Spring Symposium: Between a Rock and a Hard Place: Cognitive Science Principles Meet AI-Hard Problems,"AI, Cognitive, and Quantum Models of Organizations: A Progress Report."
AAAI Spring Symposium: Challenges to Decision Support in a Changing World,Adapting an Hypertension Home-Monitoring System to the Patient's Cardiovascular Risk.
AAAI Spring Symposium: Cognitive Shape Processing,Perceptual Similarity in Visual Metaphor Processing.
AAAI Spring Symposium: Combining Machine Learning with Knowledge Engineering (1),EM-algorithm Enpowers Material Science: Application of Inverse Estimation for Small Angle Scattering.
AAAI Spring Symposium: Combining Machine Learning with Knowledge Engineering,Towards an Assistive and Pattern Learning-driven Process Modeling Approach.,KINN: Incorporating Expert Knowledge in Neural Networks.,On Datasets for Evaluating Architectures for Learning to Reason.
AAAI Spring Symposium: Computational Approaches to Analyzing Weblogs,A Weblog Grounded to the Real World.
AAAI Spring Symposium: Computational Physiology,Ambulatory Assessment of Lifestyle Factors for Alzheimer's Disease and Related Dementias.
AAAI Spring Symposium: Control Mechanisms for Spatial Knowledge Processing in Cognitive / Intelligent Systems,Preface: Control Mechanisms for Spatial Knowledge Processing in Cognitive / Intelligent Systems.
AAAI Spring Symposium: Creative Intelligent Systems,Creative Collaborative Exploration in Multiple Environments.
AAAI Spring Symposium: Creativity and (Early) Cognitive Development,"The Unusual Box Test: A Non-Verbal, Non-Representational Divergent Thinking Test for Toddlers."
AAAI Spring Symposium: Data Driven Wellness,Adaptive Agent for Player-Specific Fitness and Health Incentives in Mobile Location Based Games.,Online Population-Based Patient Registry to Collect and Share Health-related Data of Rare Disease Patients.
AAAI Spring Symposium: Designing Intelligent Robots,An Ontology-based Multi-level Robot Architecture for Learning from Experiences.
AAAI Spring Symposium: Distributed Plan and Schedule Management,An Examination of Criticality-Sensitive Approaches to Coordination.
AAAI Spring Symposium: Educational Robotics and Beyond,iSENSE: A Web Environment and Hardware Platform for Data Sharing and Citizen Science.
AAAI Spring Symposium: Embedded Reasoning,Assisted Highway Lane Changing with RASCL.
"AAAI Spring Symposium: Emotion, Personality, and Social Behavior",The Personality-Enabled Architecture for Cognition (PAC).
AAAI Spring Symposium: Experimental Design for Real-World Systems,Invited Speakers and Panelist Biographies.
AAAI Spring Symposium: Formalizing and Compiling Background Knowledge and Its Applications to Knowledge Representation and Question Answering,From WordNet to a Knowlege Base.
AAAI Spring Symposium: Game Theoretic and Decision Theoretic Agents,"""Unrolling"" Complex Task Models into MDPs.",An Efficient Heuristic for Security against Multiple Adversaries in Stackelberg Games.
"AAAI Spring Symposium: Game Theory for Security, Sustainability, and Health",Towards Optimal Patrol Strategies for Fare Inspection in Transit Systems.,Security Games with Limited Surveillance: An Initial Report.
AAAI Spring Symposium: Help Me Help You: Bridging the Gaps in Human-Agent Collaboration,Human Natural Instruction of a Simulated Electronic Student.
AAAI Spring Symposium: Human Behavior Modeling,Honest Signals in the Recognition of Functional Relational Roles in Meetings.,Human Behavior Modeling with Maximum Entropy Inverse Optimal Control.
AAAI Spring Symposium: Intelligent Event Processing,Organizing Committee.,Collaboration Patterns in Event-Driven Environments for Virtual Organizations.,An Approach for Automatic Fraud Detection in the Insurance Domain.
AAAI Spring Symposium: Intelligent Information Privacy Management,Ontological Semantics for Data Privacy Compliance: The NEURONA Project.
AAAI Spring Symposium: Intelligent Narrative Technologies II,STORYEVAL: An Empirical Evaluation Framework for Narrative Generation.
AAAI Spring Symposium: Intelligent Web Services Meet Social Computing,A Social Description Revolution - Describing Web APIs' Social Parameters with RESTdesc.,"Personalisation of Social Web Services in the Enterprise Using Spreading Activation for Multi-Source, Cross-Domain Recommendations."
AAAI Spring Symposium: Intentions in Intelligent Systems,Beyond the Ad-Hoc and the Impractically Formal: Lessons from the Implementation of Formalisms of Intention.,Confirming Changes in Beliefs and Intentions.
AAAI Spring Symposium: Interaction Challenges for Intelligent Assistants,"Integrating Multiple Representations of Spatial Knowledge for Mapping, Navigation, and Communication."
AAAI Spring Symposium: Interpretable AI for Well-being,Toward Good Circadian Rhythm through an valuate of Stress Condition.
AAAI Spring Symposium: It's All in the Timing,As Time Goes By: Representing and Reasoning About Timing in Human-Robot Interaction Studies.
AAAI Spring Symposium: Knowledge Collection from Volunteer Contributors,Using Volunteers to Annotate Biomedical Corpora for Anaphora Resolution.
AAAI Spring Symposium: Learning by Reading and Learning to Read,Cross-Document Coreference Resolution: A Key Technology for Learning by Reading.
AAAI Spring Symposium: Lifelong Machine Learning,Autonomous Selection of Inter-Task Mappings in Transfer Learning (extended abstract).,Online Object Representation Learning and Its Application to Object Tracking.
AAAI Spring Symposium: Linked Data Meets Artificial Intelligence,Data-gov Wiki: Towards Linking Government Data.
AAAI Spring Symposium: Logical Formalizations of Commonsense Reasoning,Toward Domain-Neutral Human-Level Metacognition.
AAAI Spring Symposium: MLPS,Physics-Informed Machine Learning for Real-time Reservoir Management.
AAAI Spring Symposium: Machine Reading,Reporting on Some Logic-Based Machine Reading Research.,Robust Graph Alignment Methods for Textual Inference and Machine Reading.
AAAI Spring Symposium: Metacognition in Computation,Encoding extraction as inferences.
AAAI Spring Symposium: Modeling Complex Adaptive Systems as if They Were Voting Processes,Business Listing Classification Using Case Based Reasoning and Joint Probability.
AAAI Spring Symposium: Multidisciplinary Collaboration for Socially Assistive Robotics,Telepresence Robot for Home Care Assistance.
AAAI Spring Symposium: Multirobot Systems and Physical Data Structures,"Speech, Gesture, and Space: Investigating Explicit and Implicit Communication in Multi-Human Multi-Robot Collaborations."
AAAI Spring Symposium: Persistent Assistants: Living and Working with AI,"""And You Did That Why?"" - Using an Abstraction Hierarchy to Design Interaction with Autonomous Spacecraft.",Teams of Engineers and Agents for Managing the Recovery of Water.
AAAI Spring Symposium: Quantum Interaction,Behavior of Multi-Agent Protocols Using Quantum Entanglement.
AAAI Spring Symposium: Reasoning with Mental and External Diagrams: Computational Modeling and Spatial Assistance,"Explanations in Diagram, Word, and Gesture.",The Cognitive Conceptual Approach as a Leitmotif for Map Design.
AAAI Spring Symposium: Self-Tracking and Collective Intelligence for Personal Wellness,Smartphone-Based Self Management System for Type-2 Diabetes Patients.
AAAI Spring Symposium: Semantic Scientific Knowledge Integration,Scientific Data and Document Processing in ChemxSeer.,Ontology-based Scientific Data Service Composition: A Query Rewriting-based Approach.,Roomba Pac-Man: Teaching Autonomous Robotics through Embodied Gaming.,TeRK: A Flexible Tool for Science and Technology Education.,Medical Imaging on the Semantic Web: Annotation and Image Markup.
AAAI Spring Symposium: Semantic Web Meets eGovernment,Transparent Accountable Data Mining: New Strategies for Privacy Protection.
AAAI Spring Symposium: Shikakeology,Leveraging Persuasive Feedback Mechanism for Problem Solving.
AAAI Spring Symposium: Social Information Processing,Augmented Social Cognition.
AAAI Spring Symposium: Social Semantic Web: Where Web 2.0 Meets Web 3.0,Using the Social SemanticWeb to Support eSocial Science.
AAAI Spring Symposium: Symbiotic Relationships between Semantic Web and Knowledge Engineering,Using a Semantic Wiki as a Knowledge Source for Rich Modeling and Question Answering.
AAAI Spring Symposium: Technosocial Predictive Analytics,Predicting the Impact of Climate Change on U.S. Power Grids and Its Wider Implications on National Security.
AAAI Spring Symposium: To Boldly Go Where No Human-Robot Team Has Gone Before,Field Demonstration of Surface Human-Robotic Exploration Activity.
AAAI Spring Symposium: Towards Conscious AI Systems,Using Tononi Phi to Measure Consciousness of a Cognitive System While Reading and Conversing.
AAAI Spring Symposium: Trust and Autonomous Systems,An Argumentation-Based Approach to Handling Trust in Distributed Decision Making.
AAAI Spring Symposium: Using AI to Motivate Greater Participation in Computer Science,"200 Students Can't Be Wrong! GamesCrafters, a Computational Game Theory Undergraduate Research and Development Group."
AAAI Spring Symposium: What Went Wrong and Why: Lessons from AI Research and Applications,Electric Elves: What Went Wrong and Why.
AAAI Spring Symposium: Wisdom of the Crowd,"The Aggregative Contingent Estimation System: Selecting, Rewarding, and Training Experts in a Wisdom of Crowds Approach to Forecasting."
AAAI Technical Report (1),Towards Virtual Humans.,"Engines of the Brain: The Computational ""Instruction Set"" of Perception and Cognition."
AAAI Technical Report (2),Empirical Comparison of Incremental Learning Strategies for Genetic Programming-Based Keep-Away Soccer Agents.,Stochastic Direct Reinforcement: Application to Simple Games with Recurrence.
AAAI Technical Report (3),A Solution to the Binding Problem for Compositional Connectionism.
AAAI Technical Report (4),The Transonics Spoken Dialogue Translator: An Aid for English-Persian Doctor-Patient Interviews.
AAAI Technical Report (5),A Biologically Inspired Adaptive Working Memory for Robots.
AAAI Technical Report (6),Understanding Diagrammatic Ink in Lecture.
AAAI Technical Report (7),On the Structure of Style Space for Documents.
AAAI Workshop on Intelligent Multimedia Interfaces,WIP: The Automatic Synthesis of Multimodal Presentations.
AAAI Workshop: AI and Ethics,Dealing with Ethical Conflicts in Autonomous Agents and Multi-Agent Systems.
AAAI Workshop: AI for Cities,Living Campus: Towards a Context-Aware Energy Efficient Campus Using Weighted Case Based Reasoning.,HVAC-Aware Occupancy Scheduling.,Towards Detecting Rumours in Social Media.,Indoor Trajectory Identification: Snapping with Uncertainty.
AAAI Workshop: AI for Smart Grids and Smart Buildings,Identifying Contributing Factors of Occupant Thermal Discomfort in a Smart Building.
AAAI Workshop: AI for Transportation,Self-Driving Aircraft Towing Vehicles: A Preliminary Report.
"AAAI Workshop: AI, Ethics, and Society",Playing Games Across the Superintelligence Divide.
AAAI Workshop: Algorithm Configuration,AutoFolio: Algorithm Configuration for Algorithm Selection.
AAAI Workshop: Artificial Intelligence Applied to Assistive Technologies and Smart Environments,Deep Activity Recognition Models with Triaxial Accelerometers.,Robotic Framework for Music-Based Emotional and Social Engagement with Children with Autism.,Exploiting Environmental Sounds for Activity Recognition in Smart Homes.
AAAI Workshop: Artificial Intelligence for Cyber Security,Active Perception for Cyber Intrusion Detection and Defense.
AAAI Workshop: Beyond NP,Constrained Sampling and Counting: Universal Hashing Meets SAT Solving.
AAAI Workshop: Computational Sustainability,Modeling Ecological Integrity with Bayesian Belief Networks.,Recognition of In-Field Frog Chorusing Using Bayesian Nonparametric Microphone Array Processing.,Agents Vote for the Environment: Designing Energy-Efficient Architecture.,Predicting Bike Usage for New York City's Bike Sharing System.
AAAI Workshop: Computer Poker and Imperfect Information Games,Protecting Wildlife under Imperfect Observation.
AAAI Workshop: Computer Poker and Imperfect Information,Solving Games with Functional Regret Estimation.,Decision-Theoretic Clustering of Strategies.,Automatic Public State Space Abstraction in Imperfect Information Games.
AAAI Workshop: Declarative Learning Based Programming,RELOOP: A Python-Embedded Declarative Language for Relational Optimization.
AAAI Workshop: Expanding the Boundaries of Health Informatics Using AI,"Predicting 30-Day Risk and Cost of ""All-Cause"" Hospital Readmissions."
AAAI Workshop: Incentive and Trust in E-Communities,A New Perspective of Trust Through Multi-Attribute Auctions.
AAAI Workshop: Incentives and Trust in Electronic Communities,TRM: Computing Reputation Score by Mining Reviews.
AAAI Workshop: Knowledge Extraction from Text,EmoGram: An Open-Source Time Sequence-Based Emotion Tracker and Its Innovative Applications.,Extending Biology Models with Deep NLP over Scientific Articles.,Creating a Mars Target Encyclopedia by Extracting Information from the Planetary Science Literature.
"AAAI Workshop: Knowledge, Skill, and Behavior Transfer in Autonomous Robots",I Spy: An Interactive Game-Based Approach to Multimodal Robot Learning.
AAAI Workshop: Learning Rich Representations from Low-Level Sensors,Preface.
